country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Curacao,CUW,16/02/2022,243124,106379,97976,99,131,147.53,64.55,59.45,795,"Moderna, Pfizer/BioNTech",Government of Curacao,https://bakuna.cw/
Czechia,CZE,16/02/2022,17298051,6936707,6826291,10027,10657,161.29,64.68,63.65,994,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Dominica,DMA,16/02/2022,61347,31995,29352,,35,85,44.33,40.67,485,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Estonia,EST,16/02/2022,1943241,856390,835680,1213,1130,146.64,64.62,63.06,853,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
Ethiopia,ETH,16/02/2022,11958438,10122093,1836345,834550,140401,10.14,8.59,1.56,1191,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1494035503578034176
Faeroe Islands,FRO,16/02/2022,103853,41713,40890,,28,211.72,85.04,83.36,571,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
Finland,FIN,16/02/2022,11382504,4466204,4209310,11042,10378,205.15,80.5,75.87,1870,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov
Georgia,GEO,16/02/2022,2787627,1550088,1237539,,3325,70.04,38.95,31.1,835,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",National Center for Disease Control and Public Health,https://vaccines.ncdc.ge/vaccinationprocess/
Germany,DEU,16/02/2022,168578214,63334238,62360957,174615,154112,200.93,75.49,74.33,1837,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Gibraltar,GIB,16/02/2022,112447,41691,40813,213,74,333.76,123.75,121.14,2196,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1493958047420620808
Greece,GRC,16/02/2022,19698331,7830598,7430451,24714,29070,189.94,75.51,71.65,2803,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Hungary,HUN,16/02/2022,,6384828,6146028,,,,66.27,63.79,,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu//cikkek/6-millio-385-ezer-beoltott-8578-az-uj-fertozott-es-elhunyt-115-beteg
India,IND,16/02/2022,1738650284,960091888,761473602,2581447,4089529,124.78,68.9,54.65,2935,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
Indonesia,IDN,16/02/2022,335078861,188833480,137485375,,1283610,121.25,68.33,49.75,4645,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Indonesia,https://data.covid19.go.id/public/index.html
Iran,IRN,16/02/2022,138357387,61770138,54897594,159482,268840,162.72,72.65,64.56,3162,"COVIran Barekat, Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Soberana02, Sputnik V",World Health Organization,https://irangov.ir/detail/380273
Isle of Man,IMN,16/02/2022,186406,69323,66376,69,43,218.25,81.16,77.71,503,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
Israel,ISR,16/02/2022,17976323,6696863,6115569,3894,4677,193.48,72.08,65.82,503,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,16/02/2022,132641381,50550476,47056504,157665,193364,219.72,83.74,77.95,3203,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv
Jamaica,JAM,16/02/2022,1338726,758522,640109,2092,1970,45.02,25.51,21.53,663,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://vaccination.moh.gov.jm/
Japan,JPN,16/02/2022,216665733,101558939,100045212,1016105,751977,171.89,80.57,79.37,5966,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
Kazakhstan,KAZ,16/02/2022,20424314,9315067,8894995,64209,332923,107.52,49.04,46.83,17527,"QazVac, Sinopharm/Beijing, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
Kosovo,OWID_KOS,16/02/2022,1804256,897602,811944,1278,1136,101.24,50.37,45.56,637,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/252034067100416
Kyrgyzstan,KGZ,16/02/2022,2634736,1396564,1129620,14218,9313,39.75,21.07,17.04,1405,"Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vc.emed.gov.kg/
Laos,LAO,16/02/2022,9077344,4827386,4249958,,30225,123.01,65.42,57.59,4096,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",World Health Organization,https://www.covid19.gov.la/index.php
Latvia,LVA,16/02/2022,2835831,1341068,1295667,1921,2323,151.9,71.83,69.4,1244,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lebanon,LBN,16/02/2022,5077650,2472856,2107939,17890,10852,75.01,36.53,31.14,1603,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
Lithuania,LTU,16/02/2022,4440943,1945083,1867534,0,997,165.1,72.31,69.43,371,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
Macao,MAC,16/02/2022,1067656,514290,483884,2821,2407,162.16,78.11,73.49,3656,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.ssm.gov.mo/docs/19164/19164_0bb6414667e045ef97326255efd0ce33_000_.pdf
Malaysia,MYS,16/02/2022,65524828,26386024,25737748,164572,153908,199.92,80.5,78.53,4696,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Malaysia,https://github.com/MoH-Malaysia/covid19-public
Mexico,MEX,16/02/2022,173826545,84782507,78528456,788671,517553,133.44,65.09,60.28,3973,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/703736/2022.02.16_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Moldova,MDA,16/02/2022,2018036,,1025126,,5098,50.15,,25.48,1267,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
Mongolia,MNG,16/02/2022,5458041,2270545,2171826,673,948,163.94,68.2,65.23,285,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
Montenegro,MNE,16/02/2022,660405,288037,279354,346,345,105.15,45.86,44.48,549,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
New Zealand,NZL,16/02/2022,10260116,4234695,3948146,44679,50301,200.15,82.61,77.02,9812,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
Nicaragua,NIC,16/02/2022,9193699,5371365,3822334,,24081,137.17,80.14,57.03,3593,"Abdala, Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Soberana02, Sputnik Light, Sputnik V",World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Pakistan,PAK,16/02/2022,205527345,122046024,94523444,,1897034,91.26,54.19,41.97,8424,"CanSino, Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",National Command and Operation Centre,https://ncoc.gov.pk/covid-vaccination-en.php
Panama,PAN,16/02/2022,6778904,3178000,2527728,11450,13285,154.71,72.53,57.69,3032,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://vacunas.panamasolidario.gob.pa/vacunometro
Portugal,PRT,16/02/2022,22565074,9641283,9289886,26783,55591,221.92,94.82,91.36,5467,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
Qatar,QAT,16/02/2022,6143063,,,19384,18015,209.62,,,6147,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
Russia,RUS,16/02/2022,159211213,78200456,71431686,799444,350404,109.11,53.59,48.96,2401,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
Saint Lucia,LCA,16/02/2022,109255,57517,51738,,68,59.25,31.19,28.06,369,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.covid19response.lc/
Slovenia,SVN,16/02/2022,2950648,,,0,1626,141.95,,,782,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via covid-19.sledilnik.org,https://covid-19.sledilnik.org/sl/stats
South Africa,ZAF,16/02/2022,31242215,20516392,17455668,,120630,52.03,34.17,29.07,2009,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/latest-vaccine-statistics/
South Korea,KOR,16/02/2022,117413646,44768136,44261075,144936,182985,228.85,87.26,86.27,3567,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,https://ncv.kdca.go.kr/
Sweden,SWE,16/02/2022,20178098,7796228,7558474,32742,40030,198.6,76.73,74.39,3940,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/
Taiwan,TWN,16/02/2022,44870859,19256314,17728325,335241,271131,188.1,80.72,74.32,11366,"Medigen, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
Thailand,THA,16/02/2022,120731941,52916583,49280756,65012,224520,172.6,75.65,70.45,3210,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Thailand,https://ddc.moph.go.th/covid19-dashboard/
Turkey,TUR,16/02/2022,144476562,57596845,52672756,149679,142511,169.89,67.73,61.94,1676,"Pfizer/BioNTech, Sinovac, Turkovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
Ukraine,UKR,16/02/2022,31317953,15631687,15064511,66082,56106,72.05,35.96,34.66,1291,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://health-security.rnbo.gov.ua
United Arab Emirates,ARE,16/02/2022,23911863,9890335,9415599,30165,22330,239.33,98.99,94.24,2235,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,https://fcsc.gov.ae/en-us/Pages/Covid19/UAE-Covid-19-Updates.aspx
United States,USA,16/02/2022,548391614,252400057,213435209,0,241910,165.17,76.02,64.29,729,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://data.cdc.gov/Vaccinations/COVID-19-Vaccination-Trends-in-the-United-States-N/rh2h-3yt2
Uruguay,URY,16/02/2022,7556889,2952866,2704712,4726,5415,216.83,84.73,77.61,1554,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health via vacuna.uy,https://monitor.uruguaysevacuna.gub.uy/
Anguilla,AIA,15/02/2022,,,,,28,,,,1851,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Argentina,ARG,15/02/2022,91223956,40072715,35528853,229821,253880,200.03,87.87,77.9,5567,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.argentina.gob.ar/coronavirus/vacuna/aplicadas
Aruba,ABW,15/02/2022,167315,87115,80200,48,54,156.08,81.27,74.82,504,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
Australia,AUS,15/02/2022,52635184,21933086,20384601,160237,157389,204.11,85.05,79.05,6103,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via CovidBaseAU,https://covidbaseau.com/
Azerbaijan,AZE,15/02/2022,12549963,5270596,4766430,71434,41175,122.76,51.55,46.62,4028,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az/storage/app/9sWKkwHJeU9OdgY7G2YVU8Ux0MmAsUuc5WuhqRpD.pdf
Bahamas,BHS,15/02/2022,,,,,333,,,,839,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Barbados,BRB,15/02/2022,308208,159619,148589,173,154,107.13,55.48,51.65,535,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/moh.barbados/posts/313551277477747
Belgium,BEL,15/02/2022,24606542,9192153,8994224,8726,28213,211.54,79.02,77.32,2425,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Brazil,BRA,15/02/2022,379776348,174665423,152576040,858598,1133702,177.47,81.62,71.3,5298,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",State governments via coronavirusbra1.github.io,https://coronavirusbra1.github.io
Bulgaria,BGR,15/02/2022,4254776,,2030626,5517,5089,61.69,,29.44,738,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Cambodia,KHM,15/02/2022,34042032,14385128,13808558,163473,80850,200.88,84.89,81.48,4771,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,https://www.facebook.com/MinistryofHealthofCambodia/posts/316017637221673
Canada,CAN,15/02/2022,80047174,32489215,30654612,155415,109533,210.27,85.35,80.53,2877,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Chile,CHL,15/02/2022,47643248,17709763,17104902,91584,65266,247.98,92.18,89.03,3397,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac","Ministry of Health, via Ministry of Science GitHub repository",https://github.com/MinCiencia/Datos-COVID19
China,CHN,15/02/2022,3056997000,,,4562000,5835286,211.67,,,4040,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001",National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202202/6564cf2132254ab0b1ec82d94e33a4f3.shtml
Croatia,HRV,15/02/2022,5166325,2302752,2221069,3772,3535,126.57,56.42,54.42,866,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
Curacao,CUW,15/02/2022,243025,106362,97945,126,139,147.47,64.54,59.43,843,"Moderna, Pfizer/BioNTech",Government of Curacao,https://bakuna.cw/
Cyprus,CYP,15/02/2022,1758361,686385,642293,1605,2073,196.24,76.61,71.68,2314,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
Czechia,CZE,15/02/2022,17288024,6936147,6824298,9924,11513,161.2,64.68,63.63,1074,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,15/02/2022,13154421,4845362,4740067,2403,3217,226.28,83.35,81.54,553,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata
Dominica,DMA,15/02/2022,,,,,33,,,,457,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Dominican Republic,DOM,15/02/2022,15107392,7043796,5844147,24716,17278,137.92,64.31,53.35,1577,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
El Salvador,SLV,15/02/2022,10111499,4554203,4233066,,6583,155.12,69.87,64.94,1010,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Health,https://covid19.gob.sv/
England,OWID_ENG,15/02/2022,116720329,44167184,40953085,49764,54050,206.4,78.1,72.42,956,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Estonia,EST,15/02/2022,1942028,856280,835382,1285,1174,146.55,64.62,63.04,886,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
Ethiopia,ETH,15/02/2022,11123888,9493520,1630368,,21194,9.44,8.05,1.38,180,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1494035503578034176
Faeroe Islands,FRO,15/02/2022,,,,,26,,,,530,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
Finland,FIN,15/02/2022,11371462,4465511,4206834,950,11205,204.95,80.48,75.82,2020,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov
France,FRA,15/02/2022,139706775,53925645,52081731,181144,179456,207.21,79.98,77.25,2662,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
Georgia,GEO,15/02/2022,,,,,3420,,,,859,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",National Center for Disease Control and Public Health,https://vaccines.ncdc.ge/vaccinationprocess/
Germany,DEU,15/02/2022,168403599,63322137,62320786,186944,168679,200.72,75.47,74.28,2010,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Gibraltar,GIB,15/02/2022,112234,41686,40784,,57,333.13,123.73,121.05,1692,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1493958047420620808
Greece,GRC,15/02/2022,19673617,7826984,7424764,28392,31412,189.7,75.47,71.59,3029,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Guatemala,GTM,15/02/2022,14162640,7096019,5499833,48046,45073,77.6,38.88,30.14,2470,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
Guernsey,GGY,15/02/2022,147399,,,,81,232.55,,,1278,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
Hungary,HUN,15/02/2022,,6384088,6144019,,,,66.27,63.77,,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu//cikkek/6-millio-385-ezer-beoltott-8578-az-uj-fertozott-es-elhunyt-115-beteg
Iceland,ISL,15/02/2022,798884,309168,288150,,553,216.62,83.83,78.13,1499,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,15/02/2022,1736068837,959602131,759530099,6339189,4769921,124.59,68.87,54.51,3423,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
Indonesia,IDN,15/02/2022,,188590685,136647928,,1283610,,68.24,49.45,4645,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Indonesia,https://data.covid19.go.id/public/index.html
Iran,IRN,15/02/2022,138197905,61727179,54877715,211092,302466,162.53,72.6,64.54,3557,"COVIran Barekat, Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Soberana02, Sputnik V",World Health Organization,https://irangov.ir/detail/380273
Ireland,IRL,15/02/2022,10518631,4039871,3941878,4753,8022,211.09,81.07,79.11,1610,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Isle of Man,IMN,15/02/2022,186337,69314,66348,85,66,218.17,81.15,77.68,773,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
Israel,ISR,15/02/2022,17972429,6696681,6115006,5670,5093,193.44,72.08,65.82,548,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,15/02/2022,132483716,50540068,47011706,182314,205555,219.46,83.72,77.88,3405,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv
Jamaica,JAM,15/02/2022,1336634,757599,638911,1903,2070,44.95,25.48,21.49,696,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://vaccination.moh.gov.jm/
Japan,JPN,15/02/2022,215649628,101544966,100029188,1077646,729626,171.08,80.56,79.36,5788,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
Kazakhstan,KAZ,15/02/2022,20360105,9307509,8884789,62847,326541,107.19,49,46.77,17191,"QazVac, Sinopharm/Beijing, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
Kenya,KEN,15/02/2022,15616694,8259019,7125646,179105,235247,28.4,15.02,12.96,4278,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.health.go.ke/wp-content/uploads/2022/02/MINISTRY-OF-HEALTH-KENYA-COVID-19-IMMUNIZATION-STATUS-REPORT-14TH-FEBRUARY-2022.pdf
Kosovo,OWID_KOS,15/02/2022,1802978,897359,811470,1430,1141,101.17,50.35,45.53,640,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/252034067100416
Kyrgyzstan,KGZ,15/02/2022,2620518,1389771,1125909,8736,8484,39.54,20.97,16.99,1280,"Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vc.emed.gov.kg/
Laos,LAO,15/02/2022,,,,,36166,,,,4901,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",World Health Organization,https://www.covid19.gov.la/index.php
Latvia,LVA,15/02/2022,2833910,1340928,1295237,2133,2528,151.79,71.83,69.38,1354,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
